Equipe,Ajaccio,Angers,Auxerre,Brest,Clermont Foot,Lens,Lille,Lorient,Lyon,Marseille
Joueurs.utilisees,36,33,33,29,28,29,26,30,29,30
Age,29.1,25.7,27.3,26.6,27.2,26.4,26,25.2,25.5,27.3
Match.jouee,38,38,38,38,38,38,38,38,38,38
Match.gagnee,7,4,8,11,17,25,19,15,18,22
Match.nul,5,6,11,11,8,9,10,10,8,7
Match.perdu,26,28,19,16,13,4,9,13,12,9
But.pour,22,31,32,43,44,66,65,49,63,61
But.contre,74,81,63,54,49,29,44,53,47,40
Tire.tentee,311,367,420,417,393,518,545,397,511,546
Action.qui.amene.un.tir,539,647,733,736,668,921,996,705,902,954
Possession,43.2,46.9,43.3,44.9,48.3,55.6,60.5,46.6,58.1,56.7
Passe.reeussi,11216,14103,12386,12486,14212,17809,19266,14837,18956,16817
Passe.tentee,15286,17463,15989,16452,17961,21203,22826,18087,22698,20689
Ratio.passe.reussi,73.4,80.8,77.5,75.9,79.1,84,84.4,82,83.5,81.3
Conduite.avant,487,632,531,592,532,738,798,753,709,759
Passe.avant,1169,1393,1284,1311,1304,1829,1982,1329,1883,1919
Dist.passe,206467,252709,240572,242407,256952,307964,325045,248618,326617,300757
Dist.passe.avant,81586,88748,90967,93329,96617,105609,109059,91944,110346,97471
Touches.de.balle,19271,21515,20359,20724,22057,24935,26767,22605,27048,24839
Drible.tentee,630,928,749,655,753,666,826,916,895,742
Drible.reeussi,283,441,337,270,350,326,400,406,398,356
Ratio.drible,44.9,47.5,45,41.2,46.5,48.9,48.4,44.3,44.5,48
Tacle,637,652,674,705,685,540,635,736,723,685
Blocks,359,402,441,435,424,401,390,484,433,366
Interception,420,374,454,475,440,339,301,369,481,420
Carton.jaune,86,69,54,63,72,63,82,48,61,63
Carton.rouge,10,5,6,2,5,3,1,4,3,4
,,,,,,,,,,
Equipe,Monaco,Montpellier,Nantes,Nice,Paris S-G,Reims,Rennes,Strasbourg,Toulouse,Troyes
Joueurs.utilisees,27,31,29,34,26,34,32,29,29,32
Age,24.7,26,26.7,26.5,26.9,24.9,25.2,27.3,25.1,25.8
Match.jouee,38,38,38,38,38,38,38,38,38,38
Match.gagnee,19,15,7,15,27,12,21,9,13,4
Match.nul,8,5,15,13,4,15,5,13,9,12
Match.perdu,11,18,16,10,7,11,12,16,16,22
But.pour,69,64,35,47,86,45,66,48,50,43
But.contre,58,62,55,37,40,45,39,59,57,81
Tire.tentee,470,435,443,507,562,516,526,442,455,390
Action.qui.amene.un.tir,834,748,771,894,1024,900,932,774,768,696
Possession,48.2,45.8,45.9,51.5,60.7,48.7,55.4,45.9,51.3,42.6
Passe.reeussi,14414,12420,13283,17325,23694,13670,17618,13337,15392,12751
Passe.tentee,18378,16221,17169,20784,26476,17565,21193,17277,19236,16193
Ratio.passe.reussi,78.4,76.6,77.4,83.4,89.5,77.8,83.1,77.2,80,78.7
Conduite.avant,719,556,705,774,810,712,774,610,648,638
Passe.avant,1820,1250,1565,1534,2029,1717,1922,1351,1737,1235
Dist.passe,263795,223908,249004,302310,370887,255023,329357,243280,275031,226331
Dist.passe.avant,99640,86793,92349,104293,117063,95219,104782,88687,102525,85483
Touches.de.balle,22398,20469,21497,25011,30202,22018,25212,21567,23432,20380
Drible.tentee,678,780,788,822,976,800,784,708,668,792
Drible.reeussi,318,338,378,420,454,347,410,340,283,365
Ratio.drible,46.9,43.3,48,51.1,46.5,43.4,52.3,48,42.4,46.1
Tacle,696,684,709,818,612,703,600,690,716,608
Blocks,459,448,427,419,378,468,392,423,476,416
Interception,426,404,431,413,296,397,341,437,409,398
Carton.jaune,64,68,65,53,57,70,58,73,62,55
Carton.rouge,5,10,4,3,5,9,6,7,3,5
