"","x"
"1",3.00790624853901
"2",0.934826187052973
"3",1.4210854715202e-14
"4",6.15040649063133
"5",2.74043792120894
"6",5.84187469910131
"7",17.3132174941575
"8",12.4523090228279
"9",82.8459413610588
"10",157.188891146926
"11",7.33726618026087
"12",3423.43786419441
"13",3307.58860954624
"14",4.21472122447025
"15",141.288322235067
"16",346.75432225136
"17",54461.9999893504
"18",11667.4680526668
"19",3095.900858797
"20",71.5955829643142
"21",40.4597330688179
"22",2.39964059808964
"23",74.0495779866435
"24",58.4606491582158
"25",49.3947365617026
"26",13.8140327203898
"27",1.5
