"","coord.Dim.1","coord.Dim.2","coord.Dim.3","coord.Dim.4","coord.Dim.5","cos2.Dim.1","cos2.Dim.2","cos2.Dim.3","cos2.Dim.4","cos2.Dim.5","contrib.Dim.1","contrib.Dim.2","contrib.Dim.3","contrib.Dim.4","contrib.Dim.5","dist"
"Arsenal",5.78984788779978,-0.273520823239863,0.615123274298648,-1.64703838045929,-1.83036302648609,0.753087529017917,0.00168070672452545,0.00850032375452474,0.0609422643794857,0.0752637090160876,11.2551671828737,0.102014064372751,1.11549933553967,9.45823882699098,12.9590313243557,6.67182161590414
"Aston Villa",-0.568543450164814,-1.2850006537876,-0.353698335266589,0.133449707332715,0.70422906679724,0.0466576835878107,0.238343081257909,0.0180576771368669,0.00257057987787614,0.0715852828291484,0.108528790659145,2.25157261660045,0.368817082551644,0.0620923487870294,1.9183416837926,2.63209811324241
"Bournemouth",-3.76379159274784,-0.0370697022398814,1.3799555364135,-1.38725808944171,-0.0776826021055619,0.631283279568729,6.12366389828832e-05,0.0848600605552431,0.085760574739149,0.000268918499918439,4.75629494476712,0.00187377506834783,5.61403586855085,6.70992041219353,0.02334240499662,4.73710950899277
"Brentford",-2.35316081893957,-3.26271511913219,-1.83612398611343,-1.10586190086351,-0.717649814475741,0.218639630298587,0.420323796353333,0.133115821041815,0.0482866925735313,0.020335311105151,1.85917752011455,14.5156862243276,9.93914450120453,4.26387661621402,1.99215545357373,5.03253920009375
"Brighton",4.60535063442993,0.674168739734118,1.03227694323501,-0.190204338632129,-0.913885986604138,0.815172228493016,0.0174687244710334,0.0409558955818472,0.00139048020666757,0.0321002199934904,7.12103376632547,0.619749925107458,3.14150279806254,0.126137342023735,3.23059195142444,5.10079669024039
"Chelsea",2.04358388563547,3.98407390585153,-0.758552043404218,1.2014722982362,-0.126792655422717,0.159018007896223,0.604388429917452,0.021909483262322,0.054965336802115,0.000612138315867887,1.40217616766971,21.6438259650001,1.69635116674512,5.03303975564398,0.0621850897652392,5.12471024642554
"Crystal Palace",-1.52453707038058,1.36310685805796,-2.32268094187868,-0.476373451056335,0.292027563022613,0.180257007358518,0.144103982784133,0.418403483240573,0.0175999436690309,0.00661399507240753,0.780357521106962,2.53360592833851,15.904649749337,0.791221238396239,0.329872232251447,3.59080574014138
"Everton",-3.77904138790652,0.136398382320672,-1.13949935615236,0.125424803600035,0.01850565139931,0.802844240299204,0.00104589103084593,0.0729955134362906,0.000884371744888516,1.92520399029359e-05,4.79491528929831,0.0253686700624993,3.82801089254537,0.0548491240607743,0.00132466732705984,4.21760594066525
"Fulham",-0.919070952016646,-1.45314715743164,0.620064526841078,0.250772906793238,1.90274685672688,0.0858098309632507,0.214515243988103,0.0390582462733606,0.00638851905267396,0.367790911043507,0.283606201096627,2.87937648983679,1.13349281039443,0.219262350305603,14.0042578066507,3.13747675479492
"Leeds United",-4.11986127491194,1.1230660388897,0.380215344996574,3.13120620911276,-1.50724305026358,0.483560274448917,0.0359332103116485,0.00411855349287131,0.279324332253486,0.0647220121009537,5.69879228322356,1.71984714576047,0.426191003103994,34.1842594508795,8.78748609726917,5.9245761358043
"Leicester City",-1.82652987866394,0.436692545431273,1.61881438376393,0.123184155235687,0.498155716538531,0.295507396990238,0.0168914274174944,0.232118044883254,0.00134407806575314,0.0219808777787721,1.1201371576882,0.260034407753393,7.7257225205797,0.0529069268873718,0.959905118770564,3.3600257267327
"Liverpool",5.41051004845515,-0.304036543614898,0.141414362183346,0.907919974213312,-0.121879079363307,0.797563674397803,0.00251849169452494,0.000544848786249393,0.0224586729541903,0.000404713116354677,9.82865425960358,0.126046512595958,0.058956546347727,2.87407421461747,0.0574587800453697,6.05836626042083
