"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"Arsenal",5.78984788779978,-0.273520823239863,0.615123274298648,-1.64703838045929,-1.83036302648609
"Aston Villa",-0.568543450164814,-1.2850006537876,-0.353698335266589,0.133449707332715,0.70422906679724
"Bournemouth",-3.76379159274784,-0.0370697022398814,1.3799555364135,-1.38725808944171,-0.0776826021055619
"Brentford",-2.35316081893957,-3.26271511913219,-1.83612398611343,-1.10586190086351,-0.717649814475741
"Brighton",4.60535063442993,0.674168739734118,1.03227694323501,-0.190204338632129,-0.913885986604138
"Chelsea",2.04358388563547,3.98407390585153,-0.758552043404218,1.2014722982362,-0.126792655422717
"Crystal Palace",-1.52453707038058,1.36310685805796,-2.32268094187868,-0.476373451056335,0.292027563022613
"Everton",-3.77904138790652,0.136398382320672,-1.13949935615236,0.125424803600035,0.01850565139931
"Fulham",-0.919070952016646,-1.45314715743164,0.620064526841078,0.250772906793238,1.90274685672688
"Leeds United",-4.11986127491194,1.1230660388897,0.380215344996574,3.13120620911276,-1.50724305026358
"Leicester City",-1.82652987866394,0.436692545431273,1.61881438376393,0.123184155235687,0.498155716538531
"Liverpool",5.41051004845515,-0.304036543614898,0.141414362183346,0.907919974213312,-0.121879079363307
"Manchester City",9.19612704989625,-1.08773559358342,0.81660784333022,-0.679144497007369,0.99351338367718
"Manchester Utd",2.24009353949623,0.0270451019553493,-0.497351467675699,1.55556522052528,-0.165551726438733
"Newcastle Utd",1.78473875858028,-0.874789972817626,-2.91779101442509,-0.333198729559628,-1.43822763480014
"Nott'ham Forest",-5.97666622565522,-1.58588900674892,0.338868904387325,-1.1608038739841,0.111396224336603
"Southampton",-4.08307314900712,2.81142912979192,2.08631989383053,-1.46250218662307,-1.73062878509532
"Tottenham",1.06175202259558,-0.108913278755343,0.736136362531686,0.619338366311961,1.53118678355634
"West Ham",-2.05805275478391,-3.79421857193512,1.07827178976249,1.50744237412755,0.141310988349405
"Wolves",-1.15967527171061,3.51105572125394,-1.01837202065828,-1.11339056786167,2.43683212665153
