"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"Arsenal",0.753087529017917,0.00168070672452545,0.00850032375452474,0.0609422643794857,0.0752637090160876
"Aston Villa",0.0466576835878107,0.238343081257909,0.0180576771368669,0.00257057987787614,0.0715852828291484
"Bournemouth",0.631283279568729,6.12366389828832e-05,0.0848600605552431,0.085760574739149,0.000268918499918439
"Brentford",0.218639630298587,0.420323796353333,0.133115821041815,0.0482866925735313,0.020335311105151
"Brighton",0.815172228493016,0.0174687244710334,0.0409558955818472,0.00139048020666757,0.0321002199934904
"Chelsea",0.159018007896223,0.604388429917452,0.021909483262322,0.054965336802115,0.000612138315867887
"Crystal Palace",0.180257007358518,0.144103982784133,0.418403483240573,0.0175999436690309,0.00661399507240753
"Everton",0.802844240299204,0.00104589103084593,0.0729955134362906,0.000884371744888516,1.92520399029359e-05
"Fulham",0.0858098309632507,0.214515243988103,0.0390582462733606,0.00638851905267396,0.367790911043507
"Leeds United",0.483560274448917,0.0359332103116485,0.00411855349287131,0.279324332253486,0.0647220121009537
"Leicester City",0.295507396990238,0.0168914274174944,0.232118044883254,0.00134407806575314,0.0219808777787721
"Liverpool",0.797563674397803,0.00251849169452494,0.000544848786249393,0.0224586729541903,0.000404713116354677
"Manchester City",0.941597993710798,0.0131735334698425,0.00742476466688736,0.00513546733527832,0.0109901353971496
"Manchester Utd",0.359018870768862,5.2331383386605e-05,0.017697494143297,0.173125650690251,0.00196088623437728
"Newcastle Utd",0.174015376270206,0.0418067018536586,0.46510036419136,0.00606519807175172,0.113003936661494
"Nott'ham Forest",0.803327733099782,0.056561423627319,0.00258248728375804,0.0303034763231512,0.00027907163506885
"Southampton",0.452331787488441,0.214455440599187,0.118098555674154,0.0580331087853682,0.0812625850745363
"Tottenham",0.140133965392975,0.00147454789075143,0.0673618117381325,0.0476818597426374,0.291442954690383
"West Ham",0.148050776416393,0.503202018212365,0.0406400440113569,0.079429004870442,0.000697990563398635
"Wolves",0.0541848633146332,0.496684529165707,0.0417847787061835,0.0499459484565655,0.239252460225259
