"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"Arsenal",11.2551671828737,0.102014064372751,1.11549933553967,9.45823882699098,12.9590313243557
"Aston Villa",0.108528790659145,2.25157261660045,0.368817082551644,0.0620923487870294,1.9183416837926
"Bournemouth",4.75629494476712,0.00187377506834783,5.61403586855085,6.70992041219353,0.02334240499662
"Brentford",1.85917752011455,14.5156862243276,9.93914450120453,4.26387661621402,1.99215545357373
"Brighton",7.12103376632547,0.619749925107458,3.14150279806254,0.126137342023735,3.23059195142444
"Chelsea",1.40217616766971,21.6438259650001,1.69635116674512,5.03303975564398,0.0621850897652392
"Crystal Palace",0.780357521106962,2.53360592833851,15.904649749337,0.791221238396239,0.329872232251447
"Everton",4.79491528929831,0.0253686700624993,3.82801089254537,0.0548491240607743,0.00132466732705984
"Fulham",0.283606201096627,2.87937648983679,1.13349281039443,0.219262350305603,14.0042578066507
"Leeds United",5.69879228322356,1.71984714576047,0.426191003103994,34.1842594508795,8.78748609726917
"Leicester City",1.1201371576882,0.260034407753393,7.7257225205797,0.0529069268873718,0.959905118770564
"Liverpool",9.82865425960358,0.126046512595958,0.058956546347727,2.87407421461747,0.0574587800453697
"Manchester City",28.3940647062283,1.61334014653748,1.965948289844,1.60815242164596,3.81808431396754
"Manchester Utd",1.68480618986736,0.000997370473130666,0.729242219794799,8.43682976493683,0.106014556051485
"Newcastle Utd",1.06946592730963,1.04348654517743,25.0988233331928,0.387087824030762,8.00116689349332
"Nott'ham Forest",11.993215792131,3.42945286466367,0.3385387869166,4.69808137229702,0.0479997541576703
"Southampton",5.59747243134161,10.7778849061886,12.8323676900315,7.45754504313886,11.5852635185572
"Tottenham",0.378498215525368,0.016174874721604,1.59757603958959,1.33739225982268,9.06889585272939
"West Ham",1.42210167626278,19.6301650835968,3.42768956949279,7.92290183801519,0.0772413647661005
"Wolves",0.451533976907025,16.8094964838169,3.05743979617524,4.32213086911238,22.9693811360547
