"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"Joueurs_utilisees",0.211978135884922,0.384161629814022,0.103692788795816,0.0421400421269346,0.000920954934524044
"Age",0.0243971287463492,0.211228769895795,0.0395565398801999,0.0798395791904298,0.426742764193906
"Match.jouee",4.13005028800192e-31,1.12992914729491e-30,9.2619987397286e-31,7.0594158865906e-30,1.7712611331921e-28
"Match_gagnee",0.760878993990236,0.0941162848306789,0.00606986511135681,0.0117715267613658,0.000286068272761682
"Match_nul",0.0876872101574006,0.000643330650705908,0.584183584286764,0.000433127963597951,0.0872756654604767
"Match_perdu",0.607529332101778,0.112147628722672,0.194100149686585,0.0109127187817571,0.0145872208723861
"But_pour",0.724962325013254,0.110995849483749,0.013445536063535,0.00270904252358432,0.0237263500800641
"But_contre",0.533470951730569,0.0652723114257633,0.289380556098584,0.0100214526243459,0.000687582465899595
"Tire_tentee",0.778239624085143,0.000741921720798653,0.000811241475125142,0.0561159594467006,0.0674579815404159
"Action_qui_amene_un_tir",0.832014695088917,0.000815474869688436,0.000620154007684129,0.0462625027985119,0.0457648682123759
"Possession",0.90655499239958,0.0526264487087366,3.4235008277778e-07,0.0124515021752663,0.00162279073313781
"Passe_reeussi",0.897680656606877,0.0455880447035401,0.0186003231478084,0.0107909241451032,0.0057940024407762
"Passe_tentee",0.887560986552628,0.0442669535133376,0.0179699362983262,0.0191798267515123,0.00282356772316237
"Ratio_passe_reussi",0.843196540357668,0.0723112258731637,0.0124907906595413,0.00113130579519814,0.0272554524622332
"Conduite_avant",0.820678652398109,0.0388984030885827,0.028051285957683,0.012462930778855,0.000966891034730261
"Passe_avant",0.897205968999811,0.015621142829626,0.000999540870965517,0.028836367544369,0.0242782540647488
"Dist_passe",0.914058823055983,0.02693901614889,0.00799199887469616,0.00279179379766752,0.0215309493989587
"Dist_passe_avant",0.858962440159514,0.0100370013041008,0.000502151686298593,0.0251570070541577,5.02930910100426e-05
"Touches_de_balle",0.856680211841606,0.0687724736933713,0.0177754635282252,0.02689995334006,0.000832855668540589
"Drible_tentee",0.117099319347066,0.539362899376741,0.0859021793580492,0.00744891672944703,0.0618083361498909
"Drible_reeussi",0.182120596042244,0.571697762321491,0.0530069113033374,0.114674468561797,0.0090352109083593
"Ratio_drible",0.147112684464176,0.179484329654794,9.53604861022243e-05,0.421956981760205,0.060036348212118
"Tacle",0.395958477461517,0.29576889883838,0.00163163027582665,0.223794975972123,0.040626031721449
"Blocks",0.711589348356876,0.134440965903937,0.000508623135629504,0.00792122790324193,0.00253429940769499
"Interception",0.566788474064316,0.000157353889418911,0.00896844311399263,0.141718695975584,0.0483109991740365
"Carton_jaune",0.3218508682405,0.259082618569162,0.0508099711533373,0.0462851563099222,0.0629709375103369
"Carton_rouge",0.00571974061911936,0.331650986335281,0.158831351212897,0.0703515016020236,0.254696486010662
