Name,Joueurs utilisees,Age,Match jouee,Match gagnee,Match nul,Match perdu,But pour,But contre,Tire tentee,Action qui amene un tir,Possession,Passe reeussi,Passe tentee,Ratio passe reussi,Conduite avant,Passe avant,Dist passe,Dist passe avant,Touches de balle,Drible tentee,Drible reeussi,Ratio drible,Tacle,Blocks,Interception,Carton jaune,Carton rouge,Competition
Arsenal,26,24.7,38,26,6,6,84,43,589,1045,59.3,18281,21969,83.2,824,2049,310206,100635,25909,751,351,46.7,568,362,237,51,0,eng Premier League
Aston Villa,26,27.0,38,18,7,13,49,46,427,751,49.3,13782,17396,79.2,637,1242,244084,87581,21501,681,292,42.9,633,438,324,80,1,eng Premier League
Bournemouth,31,26.3,38,11,6,21,37,71,358,616,40.4,11715,15381,76.2,504,1006,206704,82672,19950,735,321,43.7,618,499,353,68,0,eng Premier League
Brentford,25,26.2,38,15,14,9,56,46,400,702,43.8,11317,15551,72.8,392,1131,209961,87006,19750,597,264,44.2,587,456,341,57,1,eng Premier League
Brighton,29,26.3,38,18,8,12,68,53,607,1074,60.2,19210,22888,83.9,809,1849,319736,106474,26727,724,343,47.4,616,392,303,58,0,eng Premier League
Chelsea,32,26.3,38,11,11,16,37,47,481,859,58.7,19147,22836,83.8,829,1737,316440,104718,27166,833,375,45.0,740,466,341,81,3,eng Premier League
Crystal Palace,26,26.7,38,11,12,15,38,49,423,746,46.3,13395,17308,77.4,556,1243,238779,88389,21713,784,367,46.8,690,463,359,82,3,eng Premier League
Everton,28,26.6,38,8,12,18,32,57,426,735,42.8,11790,15783,74.7,500,1052,214056,82478,20233,669,305,45.6,708,510,390,81,2,eng Premier League
Fulham,29,28.2,38,15,7,16,52,53,420,751,48.8,13974,18014,77.6,662,1326,255629,89303,22160,592,269,45.4,623,455,340,80,1,eng Premier League
Leeds United,29,25.3,38,7,10,21,45,78,459,783,47.0,12437,16924,73.5,555,1429,206567,84295,21642,688,268,39.0,840,536,392,89,3,eng Premier League
Leicester City,28,26.1,38,9,7,22,49,68,412,744,47.7,14887,18871,78.9,580,1304,249219,89055,23125,620,291,46.9,700,517,367,63,2,eng Premier League
Liverpool,28,27.4,38,19,10,9,71,47,601,1046,60.8,20043,24361,82.3,719,1992,352929,120466,28399,691,320,46.3,590,350,333,57,1,eng Premier League
Manchester City,24,27.2,38,28,5,5,92,33,590,1099,64.7,23263,26642,87.3,987,2073,396454,114920,29895,702,334,47.6,471,339,223,44,1,eng Premier League
Manchester Utd,26,26.9,38,23,6,9,56,43,590,1051,53.7,16603,20525,80.9,711,1595,276625,97026,24848,730,317,43.4,658,496,352,78,2,eng Premier League
Newcastle Utd,27,27.3,38,19,14,5,64,33,565,1008,52.3,13925,17837,78.1,694,1618,246297,90893,22106,783,349,44.6,607,448,333,61,1,eng Premier League
Nott'ham Forest,33,26.5,38,9,11,18,36,68,362,593,37.6,9543,13606,70.1,435,859,177315,72656,17912,569,254,44.6,659,500,349,84,0,eng Premier League
Southampton,36,24.7,38,6,7,25,36,73,413,718,44.5,12319,16391,75.2,588,1125,211636,79814,21095,756,358,47.4,713,542,428,73,0,eng Premier League
Tottenham,29,27.6,38,18,6,14,68,63,512,910,50.0,15972,19672,81.2,692,1449,277567,92697,23836,663,303,45.7,619,428,340,77,3,eng Premier League
West Ham,25,28.2,38,11,7,20,41,55,466,817,42.1,12369,16357,75.6,614,1274,219013,84296,20411,607,242,39.9,607,415,408,44,0,eng Premier League
Wolves,32,26.7,38,11,8,19,28,58,409,713,49.9,14554,18294,79.6,610,1343,264071,87310,22539,772,375,48.6,661,497,279,85,6,eng Premier League
Almería,29,26.4,38,11,8,19,49,65,439,758,45.1,12151,15855,76.6,569,1090,225475,89276,20070,666,296,44.4,557,435,322,98,4,es La Liga
Athletic Club,26,27.4,38,14,9,15,46,43,541,945,51.6,14440,18630,77.5,864,1816,261620,96037,22736,734,347,47.3,608,415,310,81,5,es La Liga
Atlético Madrid,27,28.5,38,23,8,7,68,33,538,958,50.6,16814,20488,82.1,730,1571,277627,101839,24416,656,322,49.1,667,396,304,92,8,es La Liga
Barcelona,29,25.9,38,28,4,6,69,20,570,1049,64.3,21293,24725,86.1,963,2180,364326,115126,28406,801,396,49.4,522,353,253,83,6,es La Liga
Betis,30,28.6,38,17,9,12,43,41,411,741,50.6,14678,18249,80.4,620,1272,245275,92460,22480,770,365,47.4,665,411,364,82,15,es La Liga
Cádiz,38,29.1,38,10,12,16,29,53,390,663,41.9,9940,13952,71.2,475,969,190101,78677,18156,569,246,43.2,623,425,270,116,7,es La Liga
Celta Vigo,26,26.7,38,11,10,17,41,53,470,819,50.2,14700,18499,79.5,704,1403,267004,91075,22608,700,323,46.1,664,393,368,85,6,es La Liga
Elche,32,28.3,38,5,10,23,30,67,400,726,45.5,12051,15758,76.5,561,1197,218542,87460,19948,708,342,48.3,633,413,323,99,12,es La Liga
Espanyol,33,27.6,38,8,13,17,51,69,417,735,43.1,10827,14698,73.7,528,1146,208293,86401,18805,575,257,44.7,652,416,338,99,10,es La Liga
Getafe,25,27.4,38,10,12,16,34,45,365,619,39.9,9690,14126,68.6,365,1003,189556,83925,17947,456,217,47.6,541,404,320,125,9,es La Liga
Girona,29,26.0,38,13,10,15,55,55,445,821,51.3,15146,18604,81.4,725,1378,264810,95707,22397,728,341,46.8,551,379,266,92,3,es La Liga
Mallorca,31,27.7,38,14,8,16,36,43,324,563,41.1,10451,14261,73.3,476,948,199896,84037,18171,556,293,52.7,583,402,319,120,5,es La Liga
Osasuna,26,27.5,38,15,8,15,36,42,441,779,48.0,12725,16835,75.6,545,1356,242236,95597,20888,626,313,50.0,534,392,315,93,7,es La Liga
Rayo Vallecano,28,27.9,38,13,10,15,41,53,510,881,51.2,13497,17666,76.4,703,1390,251321,91899,21773,660,296,44.8,636,428,309,90,6,es La Liga
Real Madrid,26,27.4,38,24,6,8,73,36,634,1194,60.9,22082,25012,88.3,1008,2017,357586,113878,28884,971,475,48.9,542,365,296,72,3,es La Liga
Real Sociedad,30,25.9,38,21,8,9,47,35,465,800,54.6,15324,19134,80.1,692,1483,269422,96159,23231,680,307,45.1,660,399,271,90,2,es La Liga
Sevilla,35,28.7,38,13,10,15,47,54,463,837,52.6,15379,19193,80.1,558,1513,273953,95369,22999,604,269,44.5,587,361,339,120,13,es La Liga
Valencia,28,24.2,38,11,9,18,40,45,481,859,52.0,13592,17492,77.7,786,1472,240816,86465,21621,747,352,47.1,678,370,288,92,8,es La Liga
Valladolid,36,27.4,38,11,7,20,32,63,443,792,48.7,12627,16425,76.9,610,1244,238766,87767,20748,718,309,43.0,671,432,345,94,6,es La Liga
Villarreal,32,28.4,38,19,7,12,57,40,499,884,56.9,16634,19862,83.7,846,1622,295552,101196,23815,871,435,49.9,578,372,262,91,4,es La Liga
